Crystal angle	Rate at 12kV
theta/°	R(12kV)/Imp/s

3.5	0.0
3.6	0.0
3.7	1.0
3.8	1.0
3.9	2.0
4.0	1.0
4.1	0.0
4.2	0.0
4.3	1.0
4.4	2.0
4.5	2.0
4.6	0.0
4.7	0.0
4.8	1.0
4.9	0.0
5.0	1.0
5.1	0.0
5.2	0.0
5.3	1.0
5.4	0.0
5.5	0.0
5.6	0.0
5.7	0.0
5.8	1.0
5.9	1.0
6.0	0.0
6.1	0.0
6.2	0.0
6.3	1.0
6.4	0.0
6.5	0.0
6.6	0.0
6.7	1.0
6.8	0.0
6.9	3.0
7.0	0.0
7.1	1.0
7.2	1.0
7.3	0.0
7.4	1.0
7.5	0.0
7.6	1.0
7.7	2.0
7.8	2.0
7.9	0.0
8.0	2.0
8.1	1.0
8.2	1.0
8.3	2.0
8.4	0.0
8.5	0.0
8.6	1.0
8.7	0.0
8.8	0.0
8.9	1.0
9.0	2.0
9.1	1.0
9.2	1.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	1.0
9.8	1.0
9.9	1.0
10.0	2.0
10.1	1.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	1.0
10.6	0.0
10.7	0.0
10.8	1.0
10.9	2.0
11.0	0.0
11.1	2.0
11.2	1.0
11.3	0.0
11.4	0.0
11.5	2.0
11.6	1.0
11.7	0.0
11.8	0.0
11.9	2.0
12.0	1.0
12.1	1.0
12.2	3.0
12.3	2.0
12.4	0.0
12.5	1.0
12.6	1.0
12.7	1.0
12.8	2.0
12.9	1.0
13.0	0.0
13.1	0.0
13.2	1.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	2.0
13.7	0.0
13.8	0.0
13.9	1.0
14.0	0.0
14.1	2.0
14.2	1.0
14.3	0.0
14.4	1.0
14.5	1.0
14.6	0.0
14.7	3.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	1.0
15.2	2.0
15.3	2.0
15.4	2.0
15.5	2.0
15.6	4.0
15.7	6.0
15.8	2.0
15.9	10.0
16.0	5.0
16.1	7.0
16.2	3.0
16.3	3.0
16.4	3.0
16.5	4.0
16.6	10.0
16.7	5.0
16.8	6.0
16.9	4.0
17.0	6.0
17.1	5.0
17.2	4.0
17.3	4.0
17.4	9.0
17.5	6.0
17.6	5.0
17.7	9.0
17.8	7.0
17.9	7.0
18.0	9.0
18.1	4.0
18.2	7.0
18.3	2.0
18.4	2.0
18.5	2.0
18.6	4.0
18.7	5.0
18.8	4.0
18.9	3.0
19.0	2.0
19.1	5.0
19.2	1.0
19.3	1.0
19.4	6.0
19.5	1.0
19.6	2.0
19.7	4.0
19.8	1.0
19.9	2.0
20.0	2.0
20.1	4.0
20.2	6.0
20.3	12.0
20.4	5.0
20.5	4.0
20.6	1.0
20.7	3.0
20.8	1.0
20.9	1.0
21.0	1.0
21.1	1.0
21.2	1.0
21.3	1.0
21.4	1.0
21.5	1.0
21.6	3.0
21.7	5.0
21.8	10.0
21.9	15.0
22.0	9.0
22.1	16.0
22.2	11.0
22.3	20.0
22.4	184.0
22.5	251.0
22.6	248.0
22.7	157.0
22.8	62.0
22.9	12.0
23.0	8.0
23.1	8.0
23.2	13.0
23.3	10.0
23.4	9.0
23.5	7.0
23.6	9.0
23.7	9.0
23.8	7.0
23.9	5.0
24.0	11.0
24.1	2.0
24.2	6.0
24.3	9.0
24.4	8.0
24.5	9.0
24.6	3.0
24.7	9.0
24.8	5.0
24.9	1.0
25.0	4.0
