Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.5	64.0
3.6	42.0
3.7	51.0
3.8	23.0
3.9	26.0
4.0	21.0
4.1	18.0
4.2	25.0
4.3	36.0
4.4	42.0
4.5	48.0
4.6	66.0
4.7	67.0
4.8	88.0
4.9	83.0
5.0	108.0
5.1	146.0
5.2	143.0
5.3	203.0
5.4	251.0
5.5	306.0
5.6	329.0
5.7	345.0
5.8	409.0
5.9	419.0
6.0	496.0
6.1	440.0
6.2	513.0
6.3	563.0
6.4	573.0
6.5	614.0
6.6	556.0
6.7	644.0
6.8	629.0
6.9	642.0
7.0	671.0
7.1	661.0
7.2	666.0
7.3	688.0
7.4	715.0
7.5	705.0
7.6	702.0
7.7	730.0
7.8	735.0
7.9	746.0
8.0	721.0
8.1	751.0
8.2	784.0
8.3	715.0
8.4	747.0
8.5	822.0
8.6	749.0
8.7	759.0
8.8	794.0
8.9	759.0
9.0	814.0
9.1	747.0
9.2	752.0
9.3	818.0
9.4	799.0
9.5	790.0
9.6	757.0
9.7	822.0
9.8	818.0
9.9	796.0
10.0	774.0
10.1	792.0
10.2	813.0
10.3	789.0
10.4	789.0
10.5	775.0
10.6	828.0
10.7	761.0
10.8	774.0
10.9	819.0
11.0	807.0
11.1	759.0
11.2	781.0
11.3	798.0
11.4	771.0
11.5	780.0
11.6	775.0
11.7	748.0
11.8	758.0
11.9	748.0
12.0	673.0
12.1	677.0
12.2	688.0
12.3	735.0
12.4	651.0
12.5	719.0
12.6	634.0
12.7	665.0
12.8	690.0
12.9	613.0
13.0	666.0
13.1	601.0
13.2	637.0
13.3	583.0
13.4	538.0
13.5	560.0
13.6	519.0
13.7	498.0
13.8	463.0
13.9	471.0
14.0	454.0
14.1	414.0
14.2	424.0
14.3	414.0
14.4	406.0
14.5	417.0
14.6	428.0
14.7	411.0
14.8	401.0
14.9	395.0
15.0	358.0
15.1	418.0
15.2	398.0
15.3	414.0
15.4	365.0
15.5	353.0
15.6	332.0
15.7	375.0
15.8	367.0
15.9	370.0
16.0	345.0
16.1	330.0
16.2	359.0
16.3	342.0
16.4	284.0
16.5	312.0
16.6	324.0
16.7	306.0
16.8	310.0
16.9	315.0
17.0	282.0
17.1	272.0
17.2	286.0
17.3	284.0
17.4	269.0
17.5	278.0
17.6	288.0
17.7	264.0
17.8	253.0
17.9	254.0
18.0	236.0
18.1	280.0
18.2	270.0
18.3	249.0
18.4	245.0
18.5	228.0
18.6	228.0
18.7	230.0
18.8	215.0
18.9	203.0
19.0	211.0
19.1	189.0
19.2	193.0
19.3	189.0
19.4	174.0
19.5	189.0
19.6	210.0
19.7	164.0
19.8	209.0
19.9	177.0
20.0	268.0
20.1	515.0
20.2	1992.0
20.3	2823.0
20.4	2456.0
20.5	1573.0
20.6	452.0
20.7	321.0
20.8	297.0
20.9	253.0
21.0	226.0
21.1	227.0
21.2	225.0
21.3	236.0
21.4	235.0
21.5	214.0
21.6	221.0
21.7	212.0
21.8	211.0
21.9	224.0
22.0	236.0
22.1	201.0
22.2	257.0
22.3	331.0
22.4	3333.0
22.5	7814.0
22.6	8456.0
22.7	6583.0
22.8	4221.0
22.9	459.0
23.0	287.0
23.1	217.0
23.2	187.0
23.3	186.0
23.4	159.0
23.5	170.0
23.6	164.0
23.7	132.0
23.8	122.0
23.9	149.0
24.0	131.0
24.1	139.0
24.2	117.0
24.3	138.0
24.4	133.0
24.5	120.0
24.6	118.0
24.7	116.0
24.8	104.0
24.9	120.0
25.0	115.0
