Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3.5	56.0
3.6	42.0
3.7	32.0
3.8	43.0
3.9	46.0
4.0	34.0
4.1	29.0
4.2	36.0
4.3	39.0
4.4	53.0
4.5	52.0
4.6	51.0
4.7	70.0
4.8	101.0
4.9	106.0
5.0	114.0
5.1	143.0
5.2	148.0
5.3	195.0
5.4	221.0
5.5	270.0
5.6	295.0
5.7	329.0
5.8	392.0
5.9	381.0
6.0	409.0
6.1	447.0
6.2	475.0
6.3	458.0
6.4	480.0
6.5	493.0
6.6	530.0
6.7	555.0
6.8	562.0
6.9	544.0
7.0	574.0
7.1	551.0
7.2	532.0
7.3	575.0
7.4	571.0
7.5	598.0
7.6	557.0
7.7	562.0
7.8	567.0
7.9	562.0
8.0	584.0
8.1	579.0
8.2	559.0
8.3	610.0
8.4	551.0
8.5	584.0
8.6	564.0
8.7	555.0
8.8	596.0
8.9	536.0
9.0	550.0
9.1	559.0
9.2	585.0
9.3	531.0
9.4	480.0
9.5	551.0
9.6	531.0
9.7	513.0
9.8	521.0
9.9	459.0
10.0	520.0
10.1	518.0
10.2	500.0
10.3	500.0
10.4	475.0
10.5	490.0
10.6	486.0
10.7	463.0
10.8	476.0
10.9	491.0
11.0	466.0
11.1	465.0
11.2	451.0
11.3	429.0
11.4	428.0
11.5	457.0
11.6	414.0
11.7	358.0
11.8	413.0
11.9	380.0
12.0	367.0
12.1	344.0
12.2	328.0
12.3	333.0
12.4	349.0
12.5	331.0
12.6	312.0
12.7	338.0
12.8	340.0
12.9	313.0
13.0	335.0
13.1	302.0
13.2	308.0
13.3	310.0
13.4	241.0
13.5	264.0
13.6	214.0
13.7	240.0
13.8	223.0
13.9	184.0
14.0	208.0
14.1	225.0
14.2	186.0
14.3	171.0
14.4	196.0
14.5	171.0
14.6	192.0
14.7	177.0
14.8	199.0
14.9	149.0
15.0	144.0
15.1	153.0
15.2	161.0
15.3	150.0
15.4	158.0
15.5	139.0
15.6	142.0
15.7	143.0
15.8	120.0
15.9	136.0
16.0	149.0
16.1	140.0
16.2	149.0
16.3	123.0
16.4	117.0
16.5	123.0
16.6	114.0
16.7	119.0
16.8	109.0
16.9	122.0
17.0	103.0
17.1	105.0
17.2	108.0
17.3	110.0
17.4	97.0
17.5	97.0
17.6	90.0
17.7	95.0
17.8	92.0
17.9	93.0
18.0	95.0
18.1	77.0
18.2	108.0
18.3	74.0
18.4	84.0
18.5	71.0
18.6	72.0
18.7	93.0
18.8	80.0
18.9	87.0
19.0	85.0
19.1	71.0
19.2	78.0
19.3	58.0
19.4	72.0
19.5	72.0
19.6	57.0
19.7	66.0
19.8	63.0
19.9	62.0
20.0	71.0
20.1	109.0
20.2	236.0
20.3	263.0
20.4	204.0
20.5	120.0
20.6	71.0
20.7	69.0
20.8	71.0
20.9	72.0
21.0	57.0
21.1	62.0
21.2	55.0
21.3	57.0
21.4	52.0
21.5	55.0
21.6	94.0
21.7	87.0
21.8	121.0
21.9	148.0
22.0	153.0
22.1	141.0
22.2	199.0
22.3	317.0
22.4	3477.0
22.5	5444.0
22.6	5598.0
22.7	4023.0
22.8	2141.0
22.9	224.0
23.0	144.0
23.1	146.0
23.2	108.0
23.3	123.0
23.4	105.0
23.5	87.0
23.6	86.0
23.7	95.0
23.8	73.0
23.9	79.0
24.0	75.0
24.1	92.0
24.2	88.0
24.3	74.0
24.4	79.0
24.5	60.0
24.6	70.0
24.7	68.0
24.8	59.0
24.9	62.0
25.0	66.0
