Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

20.0	28.0
20.1	32.0
20.2	31.0
20.3	30.0
20.4	29.0
20.5	30.0
20.6	31.0
20.7	29.0
20.8	33.0
20.9	28.0
21.0	30.0
21.1	28.0
21.2	27.0
21.3	30.0
21.4	28.0
21.5	31.0
21.6	27.0
21.7	29.0
21.8	29.0
21.9	33.0
22.0	41.0
22.1	47.0
22.2	59.0
22.3	65.0
22.4	62.0
22.5	53.0
22.6	37.0
22.7	30.0
22.8	29.0
22.9	27.0
23.0	26.0
23.1	28.0
23.2	26.0
23.3	28.0
23.4	27.0
23.5	27.0
23.6	27.0
23.7	27.0
23.8	29.0
23.9	27.0
24.0	24.0
24.1	24.0
24.2	26.0
24.3	27.0
24.4	25.0
24.5	25.0
24.6	26.0
24.7	25.0
24.8	24.0
24.9	23.0
25.0	28.0
25.1	25.0
25.2	24.0
25.3	23.0
25.4	23.0
25.5	24.0
25.6	25.0
25.7	30.0
25.8	33.0
25.9	40.0
26.0	38.0
26.1	40.0
26.2	33.0
26.3	27.0
26.4	26.0
26.5	22.0
26.6	20.0
26.7	23.0
26.8	23.0
26.9	22.0
27.0	23.0
27.1	22.0
27.2	23.0
27.3	19.0
27.4	20.0
27.5	21.0
27.6	23.0
27.7	23.0
27.8	21.0
27.9	24.0
28.0	20.0
28.1	23.0
28.2	21.0
28.3	22.0
28.4	19.0
28.5	21.0
28.6	22.0
28.7	19.0
28.8	20.0
28.9	22.0
29.0	23.0
29.1	21.0
29.2	21.0
29.3	22.0
29.4	20.0
29.5	19.0
29.6	20.0
29.7	19.0
29.8	22.0
29.9	19.0
30.0	19.0
30.1	23.0
30.2	20.0
30.3	22.0
30.4	22.0
30.5	21.0
30.6	22.0
30.7	22.0
30.8	21.0
30.9	22.0
31.0	20.0
31.1	21.0
31.2	18.0
31.3	20.0
31.4	19.0
31.5	17.0
31.6	20.0
31.7	19.0
31.8	19.0
31.9	17.0
32.0	19.0
32.1	21.0
32.2	17.0
32.3	20.0
32.4	22.0
32.5	18.0
32.6	20.0
32.7	18.0
32.8	20.0
32.9	17.0
33.0	16.0
33.1	19.0
33.2	18.0
33.3	19.0
33.4	18.0
33.5	18.0
33.6	19.0
33.7	18.0
33.8	17.0
33.9	20.0
34.0	21.0
34.1	18.0
34.2	17.0
34.3	17.0
34.4	16.0
34.5	16.0
34.6	17.0
34.7	18.0
34.8	18.0
34.9	19.0
35.0	17.0
35.1	16.0
35.2	17.0
35.3	18.0
35.4	20.0
35.5	19.0
35.6	18.0
35.7	18.0
35.8	16.0
35.9	17.0
36.0	19.0
36.1	18.0
36.2	16.0
36.3	18.0
36.4	16.0
36.5	16.0
36.6	17.0
36.7	19.0
36.8	18.0
36.9	19.0
37.0	19.0
37.1	18.0
37.2	20.0
37.3	17.0
37.4	18.0
37.5	17.0
37.6	16.0
37.7	18.0
37.8	16.0
37.9	17.0
38.0	22.0
38.1	20.0
38.2	25.0
38.3	25.0
38.4	25.0
38.5	22.0
38.6	21.0
38.7	20.0
38.8	18.0
38.9	17.0
39.0	17.0
39.1	18.0
39.2	20.0
39.3	19.0
39.4	16.0
39.5	18.0
39.6	19.0
39.7	17.0
39.8	18.0
39.9	19.0
40.0	18.0
40.1	19.0
40.2	17.0
40.3	18.0
40.4	16.0
40.5	20.0
40.6	17.0
40.7	18.0
40.8	18.0
40.9	17.0
41.0	18.0
41.1	17.0
41.2	16.0
41.3	18.0
41.4	19.0
41.5	18.0
41.6	16.0
41.7	17.0
41.8	18.0
41.9	16.0
42.0	17.0
42.1	17.0
42.2	20.0
42.3	18.0
42.4	17.0
42.5	17.0
42.6	18.0
42.7	18.0
42.8	18.0
42.9	17.0
43.0	18.0
43.1	15.0
43.2	17.0
43.3	18.0
43.4	18.0
43.5	18.0
43.6	17.0
43.7	18.0
43.8	16.0
43.9	17.0
44.0	20.0
44.1	17.0
44.2	17.0
44.3	18.0
44.4	17.0
44.5	17.0
44.6	17.0
44.7	18.0
44.8	16.0
44.9	18.0
45.0	18.0
45.1	18.0
45.2	17.0
45.3	17.0
45.4	17.0
45.5	17.0
45.6	17.0
45.7	18.0
45.8	17.0
45.9	18.0
46.0	18.0
46.1	17.0
46.2	19.0
46.3	19.0
46.4	24.0
46.5	24.0
46.6	26.0
46.7	24.0
46.8	22.0
46.9	20.0
47.0	19.0
47.1	16.0
47.2	18.0
47.3	17.0
47.4	19.0
47.5	18.0
47.6	18.0
47.7	19.0
47.8	17.0
47.9	16.0
48.0	17.0
48.1	17.0
48.2	17.0
48.3	18.0
48.4	18.0
48.5	16.0
48.6	20.0
48.7	19.0
48.8	20.0
48.9	19.0
49.0	18.0
49.1	17.0
49.2	23.0
49.3	18.0
49.4	20.0
49.5	19.0
49.6	18.0
49.7	17.0
49.8	19.0
49.9	17.0
50.0	18.0
50.1	18.0
50.2	18.0
50.3	15.0
50.4	18.0
50.5	18.0
50.6	16.0
50.7	17.0
50.8	18.0
50.9	18.0
51.0	18.0
51.1	18.0
51.2	16.0
51.3	20.0
51.4	18.0
51.5	20.0
51.6	16.0
51.7	16.0
51.8	18.0
51.9	18.0
52.0	18.0
