Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

15.0	41.0
15.1	39.0
15.2	45.0
15.3	46.0
15.4	49.0
15.5	49.0
15.6	42.0
15.7	35.0
15.8	39.0
15.9	37.0
16.0	44.0
16.1	41.0
16.2	39.0
16.3	38.0
16.4	42.0
16.5	33.0
16.6	38.0
16.7	40.0
16.8	35.0
16.9	34.0
17.0	46.0
17.1	37.0
17.2	41.0
17.3	39.0
17.4	29.0
17.5	41.0
17.6	31.0
17.7	38.0
17.8	40.0
17.9	42.0
18.0	42.0
18.1	41.0
18.2	31.0
18.3	33.0
18.4	37.0
18.5	33.0
18.6	32.0
18.7	28.0
18.8	36.0
18.9	32.0
19.0	30.0
19.1	26.0
19.2	31.0
19.3	32.0
19.4	26.0
19.5	34.0
19.6	31.0
19.7	29.0
19.8	34.0
19.9	27.0
20.0	30.0
20.1	31.0
20.2	36.0
20.3	26.0
20.4	36.0
20.5	38.0
20.6	32.0
20.7	29.0
20.8	27.0
20.9	27.0
21.0	29.0
21.1	27.0
21.2	30.0
21.3	32.0
21.4	28.0
21.5	27.0
21.6	30.0
21.7	26.0
21.8	25.0
21.9	23.0
22.0	26.0
22.1	33.0
22.2	29.0
22.3	25.0
22.4	20.0
22.5	23.0
22.6	31.0
22.7	36.0
22.8	40.0
22.9	50.0
23.0	50.0
23.1	38.0
23.2	37.0
23.3	25.0
23.4	22.0
23.5	32.0
23.6	25.0
23.7	24.0
23.8	25.0
23.9	28.0
24.0	26.0
24.1	28.0
24.2	32.0
24.3	23.0
24.4	23.0
24.5	28.0
24.6	32.0
24.7	32.0
24.8	32.0
24.9	34.0
25.0	37.0
25.1	40.0
25.2	112.0
25.3	271.0
25.4	681.0
25.5	904.0
25.6	919.0
25.7	649.0
25.8	304.0
25.9	103.0
26.0	46.0
26.1	44.0
26.2	32.0
26.3	30.0
26.4	28.0
26.5	27.0
26.6	23.0
26.7	30.0
26.8	25.0
26.9	25.0
27.0	31.0
27.1	29.0
27.2	26.0
27.3	35.0
27.4	27.0
27.5	22.0
27.6	27.0
27.7	25.0
27.8	22.0
27.9	26.0
28.0	25.0
28.1	18.0
28.2	24.0
28.3	28.0
28.4	23.0
28.5	29.0
28.6	21.0
28.7	20.0
28.8	24.0
28.9	21.0
29.0	23.0
29.1	21.0
29.2	20.0
29.3	25.0
29.4	22.0
29.5	24.0
29.6	27.0
29.7	20.0
29.8	21.0
29.9	22.0
30.0	21.0
30.1	19.0
30.2	22.0
30.3	20.0
30.4	24.0
30.5	20.0
30.6	15.0
30.7	21.0
30.8	27.0
30.9	22.0
31.0	20.0
31.1	21.0
31.2	21.0
31.3	20.0
31.4	15.0
31.5	24.0
31.6	15.0
31.7	22.0
31.8	27.0
31.9	18.0
32.0	19.0
32.1	18.0
32.2	17.0
32.3	14.0
32.4	21.0
32.5	14.0
32.6	22.0
32.7	17.0
32.8	19.0
32.9	17.0
33.0	24.0
33.1	25.0
33.2	20.0
33.3	19.0
33.4	18.0
33.5	16.0
33.6	18.0
33.7	23.0
33.8	19.0
33.9	16.0
34.0	16.0
34.1	19.0
34.2	15.0
34.3	18.0
34.4	23.0
34.5	17.0
34.6	17.0
34.7	15.0
34.8	19.0
34.9	20.0
35.0	18.0
35.1	23.0
35.2	15.0
35.3	18.0
35.4	17.0
35.5	19.0
35.6	19.0
35.7	16.0
35.8	18.0
35.9	16.0
36.0	18.0
36.1	17.0
36.2	18.0
36.3	19.0
36.4	24.0
36.5	20.0
36.6	18.0
36.7	15.0
36.8	14.0
36.9	17.0
37.0	19.0
37.1	17.0
37.2	17.0
37.3	21.0
37.4	20.0
37.5	22.0
37.6	16.0
37.7	19.0
37.8	16.0
37.9	16.0
38.0	20.0
38.1	13.0
38.2	18.0
38.3	16.0
38.4	23.0
38.5	18.0
38.6	15.0
38.7	17.0
38.8	14.0
38.9	21.0
39.0	16.0
39.1	16.0
39.2	16.0
39.3	20.0
39.4	18.0
39.5	20.0
39.6	16.0
39.7	20.0
39.8	20.0
39.9	22.0
40.0	17.0
40.1	15.0
40.2	18.0
40.3	20.0
40.4	14.0
40.5	16.0
40.6	21.0
40.7	14.0
40.8	19.0
40.9	14.0
41.0	13.0
41.1	17.0
41.2	16.0
41.3	19.0
41.4	17.0
41.5	19.0
41.6	18.0
41.7	22.0
41.8	16.0
41.9	18.0
42.0	18.0
42.1	17.0
42.2	15.0
42.3	22.0
42.4	20.0
42.5	14.0
42.6	18.0
42.7	16.0
42.8	18.0
42.9	14.0
43.0	16.0
43.1	15.0
43.2	20.0
43.3	20.0
43.4	13.0
43.5	18.0
43.6	17.0
43.7	20.0
43.8	22.0
43.9	18.0
44.0	22.0
44.1	22.0
44.2	19.0
44.3	18.0
44.4	21.0
44.5	17.0
44.6	19.0
44.7	14.0
44.8	18.0
44.9	25.0
45.0	16.0
45.1	15.0
45.2	17.0
45.3	14.0
45.4	17.0
45.5	19.0
45.6	21.0
45.7	21.0
45.8	27.0
45.9	17.0
46.0	18.0
46.1	11.0
46.2	18.0
46.3	14.0
46.4	14.0
46.5	20.0
46.6	15.0
46.7	17.0
46.8	14.0
46.9	14.0
47.0	19.0
47.1	24.0
47.2	21.0
47.3	17.0
47.4	22.0
47.5	18.0
47.6	15.0
47.7	20.0
47.8	15.0
47.9	15.0
48.0	18.0
48.1	18.0
48.2	20.0
48.3	19.0
48.4	16.0
48.5	22.0
48.6	14.0
48.7	21.0
48.8	17.0
48.9	10.0
49.0	17.0
49.1	23.0
49.2	21.0
49.3	17.0
49.4	20.0
49.5	18.0
49.6	15.0
49.7	13.0
49.8	14.0
49.9	19.0
50.0	17.0
