Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

20.0	14.0
20.1	21.0
20.2	28.0
20.3	23.0
20.4	17.0
20.5	25.0
20.6	19.0
20.7	15.0
20.8	21.0
20.9	23.0
21.0	23.0
21.1	19.0
21.2	12.0
21.3	19.0
21.4	20.0
21.5	16.0
21.6	26.0
21.7	13.0
21.8	14.0
21.9	21.0
22.0	15.0
22.1	17.0
22.2	24.0
22.3	11.0
22.4	15.0
22.5	17.0
22.6	18.0
22.7	20.0
22.8	14.0
22.9	18.0
23.0	12.0
23.1	18.0
23.2	12.0
23.3	13.0
23.4	14.0
23.5	18.0
23.6	9.0
23.7	18.0
23.8	17.0
23.9	18.0
24.0	16.0
24.1	13.0
24.2	11.0
24.3	12.0
24.4	11.0
24.5	16.0
24.6	8.0
24.7	11.0
24.8	11.0
24.9	10.0
25.0	13.0
25.1	13.0
25.2	8.0
25.3	14.0
25.4	8.0
25.5	8.0
25.6	9.0
25.7	10.0
25.8	12.0
25.9	9.0
26.0	9.0
26.1	11.0
26.2	8.0
26.3	14.0
26.4	13.0
26.5	10.0
26.6	13.0
26.7	8.0
26.8	8.0
26.9	8.0
27.0	7.0
27.1	11.0
27.2	9.0
27.3	11.0
27.4	7.0
27.5	12.0
27.6	11.0
27.7	9.0
27.8	5.0
27.9	11.0
28.0	9.0
28.1	10.0
28.2	7.0
28.3	6.0
28.4	7.0
28.5	9.0
28.6	10.0
28.7	6.0
28.8	7.0
28.9	7.0
29.0	8.0
29.1	9.0
29.2	10.0
29.3	6.0
29.4	6.0
29.5	7.0
29.6	10.0
29.7	6.0
29.8	9.0
29.9	10.0
30.0	9.0
30.1	7.0
30.2	6.0
30.3	10.0
30.4	7.0
30.5	8.0
30.6	10.0
30.7	4.0
30.8	6.0
30.9	5.0
31.0	7.0
31.1	8.0
31.2	7.0
31.3	13.0
31.4	9.0
31.5	8.0
31.6	5.0
31.7	9.0
31.8	7.0
31.9	3.0
32.0	3.0
32.1	2.0
32.2	7.0
32.3	4.0
32.4	6.0
32.5	5.0
32.6	4.0
32.7	3.0
32.8	6.0
32.9	3.0
33.0	4.0
33.1	4.0
33.2	6.0
33.3	5.0
33.4	6.0
33.5	4.0
33.6	4.0
33.7	5.0
33.8	4.0
33.9	5.0
34.0	6.0
34.1	6.0
34.2	6.0
34.3	8.0
34.4	8.0
34.5	4.0
34.6	5.0
34.7	12.0
34.8	49.0
34.9	171.0
35.0	352.0
35.1	364.0
35.2	226.0
35.3	91.0
35.4	15.0
35.5	8.0
35.6	8.0
35.7	7.0
35.8	7.0
35.9	5.0
36.0	8.0
36.1	6.0
36.2	2.0
36.3	5.0
36.4	3.0
36.5	6.0
36.6	6.0
36.7	5.0
36.8	4.0
36.9	4.0
37.0	5.0
37.1	1.0
37.2	3.0
37.3	5.0
37.4	4.0
37.5	5.0
37.6	5.0
37.7	5.0
37.8	4.0
37.9	4.0
38.0	4.0
38.1	3.0
38.2	6.0
38.3	2.0
38.4	3.0
38.5	3.0
38.6	6.0
38.7	2.0
38.8	3.0
38.9	4.0
39.0	4.0
39.1	1.0
39.2	2.0
39.3	3.0
39.4	5.0
39.5	3.0
39.6	2.0
39.7	2.0
39.8	3.0
39.9	0.0
40.0	2.0
